API Number,Operator,Well Name,Well Number,Northing,Easting,Well Status,Class,Total Depth,Datum Elevation,Datum Type,State,County,Country,Field,Basin,Lease Name,Ground Elevation,Plugback Depth,Spud Date,Completion Date,Common Well Name,Legal Survey Type,Location,Geog. Proj.
490251094200,U.S. DOE,NPR-3,37-StX-10,951720.3,800430.2,PR,O,2218,5231,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5221,,1983-10-03,,37-STX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2592"
490251094300,U.S. DOE,NPR-3,76-MX-3,957858.9,802824.5,PR,O,4119,5157,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5147,,1983-08-25,,76-MX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2593"
490251094400,U.S. DOE,NPR-3,34-AX-34,964533.4,800286.6,PR,O,4107,5100,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5090,,1983-10-11,,34-AX-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 ,"All Coordinates in Wyoming East Central State Plane, NAD 2594"
490251095000,U.S. DOE,NPR-3,34-TX-3,959336.2,800371.8,PR,O,4140,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5174,,1983-11-10,,34-TX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2595"
490251095100,U.S. DOE,NPR-3,66-JX-33,963119.6,796964.9,PA,,4025,5153,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5141,,1983-11-22,12/2/83,66-JX-33,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 33,"All Coordinates in Wyoming East Central State Plane, NAD 2596"
490251095400,U.S. DOE,NPR-3,55-51-SX-3-FP,958705.9,801820.1,PA,O,490,5171,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5161,412,1983-12-11,,55-51-SX-3-FP,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2597"
490251095500,U.S. DOE,NPR-3,54-36-SX-3-FO,958786.7,801730,PA,O,478,5176,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5166,,1983-12-08,,54-36-SX-3-FO,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2598"
490251095600,U.S. DOE,NPR-3,36-ShX-10,952770.9,800653.3,PA,O,4100,5234,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5224,,1983-12-29,,36-SHX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2599"
490251095700,U.S. DOE,NPR-3,36-1-StX-10,952705.4,800697.6,PA,O,2308,5228,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5216,2308,1983-12-17,12/20/83,36-1-STX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2600"
490251095900,U.S. DOE,NPR-3,56-StX-15,947574.7,801909.8,PA,O,4547,5338,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5326,,1984-01-23,,56-STX-15,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 15,"All Coordinates in Wyoming East Central State Plane, NAD 2601"
490251096000,U.S. DOE,NPR-3,15-StX-14,948333.3,804554.9,PR,O,2350,5242,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5231,,1984-03-12,3/17/84,15-STX-14,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 14,"All Coordinates in Wyoming East Central State Plane, NAD 2602"
490251096300,U.S. DOE,NPR-3,28-AX-27,966781.7,799548.9,PA,O,4154,5088,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5078,,1984-02-16,,28-AX-27,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 27,"All Coordinates in Wyoming East Central State Plane, NAD 2603"
490251096500,U.S. DOE,NPR-3,88-AX-28,967123.5,798492.7,PR,O,4100,5096,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5085,,1984-02-29,,88-AX-28,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28,"All Coordinates in Wyoming East Central State Plane, NAD 2604"
490251096600,U.S. DOE,NPR-3,24-JX-34,964098.1,799474.3,PA,,4050,5101,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5089,,1984-03-18,,24-JX-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 ,"All Coordinates in Wyoming East Central State Plane, NAD 2605"
490251096700,U.S. DOE,NPR-3,22-StX-3,960639.7,799541.5,PR,O,2172,5224,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5212,,1984-06-09,,22-STX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2606"
490251096800,U.S. DOE,NPR-3,42-StX-3(/),960630.8,800969.8,DR,O,1880,5142,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5132,,1984-06-19,,42-STX-3(/),CONGRESS,TWP: 38  N - Range: 78 W - Sec. 3  ,"All Coordinates in Wyoming East Central State Plane, NAD 2607"
490251096900,U.S. DOE,NPR-3,57-StX-10,952060.5,801887.6,PR,O,2150,5211,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5201,,1979-02-19,,57-STX-10,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 10 ,"All Coordinates in Wyoming East Central State Plane, NAD 2608"
490251097000,U.S. DOE,NPR-3,76-21-SX-10,952904.9,802866,PR,O,551,5167,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5167,,1984-07-21,,76-21-SX-10,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 10 ,"All Coordinates in Wyoming East Central State Plane, NAD 2609"
490251097100,U.S. DOE,NPR-3,14-LX-28-WD,969666.7,793597.7,PA,I,3996,5032,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5014,,1984-04-03,,14-LX-28-WD,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28,"All Coordinates in Wyoming East Central State Plane, NAD 2610"
490251097200,U.S. DOE,NPR-3,12-AX-33,965517.2,794091.1,PA,O,4121,5170,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5157,,1984-07-19,,12-AX-33,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 33,"All Coordinates in Wyoming East Central State Plane, NAD 2611"
490251097300,U.S. DOE,NPR-3,88-DX-3,956620.6,803670.8,PR,O,4080,5137,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5127,,1984-08-16,,88-DX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2612"
490251097500,U.S. DOE,NPR-3,27-64-SX-11-WP,952066.5,805321.7,PR,O,750,5213,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5198,,1984-09-14,9/15/84,27-64-SX-11-WP,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 11,"All Coordinates in Wyoming East Central State Plane, NAD 2613"
