WLBR_ID,Company,Field_Name,Lat,Lon,Yr,OEB,Oil_BBLS,Gas_OEB,Gas_KCF,Days_Tot,Water_Tot,FM AGE,Formation,Oil_Gravity,,,,,,
2505473,IRON CREEK PROPERTIES INC,IRON CREEK,42.757780,-106.637290,2000,8,8,0,0,343,640,Cret. Upr,FRONTIER,,,,,,,
2505476,IRON CREEK PROPERTIES INC,IRON CREEK,42.749677,-106.636937,2000,88,88,0,0,435,5500,Cret. Lwr,MUDDY,,,,,,,
2505480,IRON CREEK PROPERTIES INC,IRON CREEK,42.757895,-106.636252,2000,992,990,2,11,435,0,Cret. Lwr,MUDDY,,,,,,,
2505483,IRON CREEK PROPERTIES INC,IRON CREEK,42.757781,-106.637279,2000,88,88,0,2,435,5500,Cret. Lwr,MUDDY,,,,,,,
2505504,SPEASFED NATURAL RESOURCES LLC,OIL MOUNTAIN,42.782500,-106.645280,2000,1905,1905,0,0,282,8609,Penn,TENSLEEP,13.5,,,,,,
2505506,SPEASFED NATURAL RESOURCES LLC,OIL MOUNTAIN,42.783302,-106.643433,2000,229,229,0,0,279,1241,Penn,TENSLEEP,13.5,,,,,,
2505510,SPEASFED NATURAL RESOURCES LLC,OIL MOUNTAIN,42.785584,-106.644955,2000,468,468,0,0,275,2499,Penn,TENSLEEP,13.5,,,,,,
2505563,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.823500,-106.089230,2000,291,291,0,0,208,0,Cret. Upr,FRONTIER-2,21.5,,,,,,
2505583,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.830793,-106.099059,2000,1203,1203,0,0,335,645,Cret. Upr,FRONTIER-2,34.0,,,,,,
2505584,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.830750,-106.079540,2000,651,651,0,0,365,83,Cret. Upr,FRONTIER-2,37.1,,,,,,
2505585,NAUTILUS EXPLORATION LLC,BROOKS RANCH,42.831010,-106.084460,2000,435,435,0,0,175,0,Cret. Upr,FRONTIER-2,21.5,,,,,,
2505589,TEOCALI  ENERGY LLC,POISON SPIDER,42.833122,-106.726032,2000,2778,2778,0,0,358,14625,Jurassic,SUNDANCE,22.3,,,,,,
2505590,TEOCALI  ENERGY LLC,POISON SPIDER,42.833450,-106.730842,2000,1095,1095,0,0,358,1481,Jurassic,SUNDANCE,22.3,,,,,,
2505591,TEOCALI  ENERGY LLC,POISON SPIDER,42.833886,-106.714562,2000,1107,1107,0,0,358,32049,Jurassic,SUNDANCE,22.3,,,,,,
2505594,TEOCALI  ENERGY LLC,POISON SPIDER,42.834480,-106.731590,2000,2030,2030,0,0,358,1319,Jurassic,SUNDANCE,22.3,,,,,,
2505595,TEOCALI  ENERGY LLC,POISON SPIDER,42.834200,-106.729166,2000,827,827,0,0,338,34185,Jurassic,SUNDANCE,22.3,,,,,,
2505596,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.823550,-106.084370,2000,1566,1566,0,0,365,0,Cret. Upr,FRONTIER-2,37.1,,,,,,
2505601,NAUTILUS EXPLORATION LLC,BROOKS RANCH,42.834415,-106.099064,2000,11,11,0,0,17,16,Cret. Upr,FRONTIER-2,18.5,,,,,,
2505602,NAUTILUS EXPLORATION LLC,BROOKS RANCH,42.834390,-106.074700,2000,44,44,0,0,18,0,Cret. Upr,FRONTIER-2,37.1,,,,,,
2505604,TEOCALI  ENERGY LLC,POISON SPIDER,42.834217,-106.727377,2000,473,473,0,0,290,14619,Jurassic,SUNDANCE,18.7,,,,,,
2505605,TEOCALI  ENERGY LLC,POISON SPIDER,42.834752,-106.730472,2000,398,398,0,0,119,511,Jurassic,SUNDANCE,9.1,,,,,,
2505606,TEOCALI  ENERGY LLC,POISON SPIDER,42.835248,-106.733903,2000,639,639,0,0,358,3782,Jurassic,SUNDANCE,22.3,,,,,,
2505607,TEOCALI  ENERGY LLC,POISON SPIDER,42.834910,-106.733690,2000,799,799,0,0,331,2951,Jurassic,SUNDANCE,20.2,,,,,,
2505609,TEOCALI  ENERGY LLC,POISON SPIDER,42.835291,-106.726746,2000,1119,1119,0,0,358,21853,Jurassic,SUNDANCE,22.3,,,,,,
2505611,ARNELL OIL COMPANY,POISON SPIDER,42.836441,-106.735855,2000,191,191,0,0,362,0,Cret. Lwr,MUDDY,22.0,,,,,,
2505612,TEOCALI  ENERGY LLC,POISON SPIDER,42.835299,-106.729765,2000,482,482,0,0,358,17090,Jurassic,SUNDANCE,22.3,,,,,,
2505614,TEOCALI  ENERGY LLC,POISON SPIDER,42.835295,-106.728237,2000,866,866,0,0,358,6081,Jurassic,SUNDANCE,18.7,,,,,,
2505615,TEOCALI  ENERGY LLC,POISON SPIDER,42.835302,-106.731219,2000,12,12,0,0,313,8638,Jurassic,SUNDANCE,,,,,,,
2505616,ARNELL OIL COMPANY,POISON SPIDER,42.836403,-106.733641,2000,191,191,0,0,362,0,Cret. Lwr,MUDDY,22.0,,,,,,
2505617,ARNELL OIL COMPANY,POISON SPIDER,42.836400,-106.733525,2000,1092,1092,0,0,362,2180,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505618,ARNELL OIL COMPANY,POISON SPIDER,42.836453,-106.730551,2000,3342,3342,0,0,362,47260,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505620,ARNELL OIL COMPANY,POISON SPIDER,42.836407,-106.735762,2000,1928,1928,0,0,362,2170,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505624,ARNELL OIL COMPANY,POISON SPIDER,42.837663,-106.731820,2000,1088,1088,0,0,358,3580,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505628,ARNELL OIL COMPANY,POISON SPIDER,42.838070,-106.733316,2000,3342,3342,0,0,362,43450,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505633,ARNELL OIL COMPANY,POISON SPIDER,42.838575,-106.735841,2000,1083,1083,0,0,359,1060,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505635,ARNELL OIL COMPANY,POISON SPIDER,42.840027,-106.733726,2000,726,726,0,0,362,2910,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505636,NAUTILUS EXPLORATION LLC,BROOKS RANCH,42.840476,-106.078348,2000,4,4,0,0,697,6,Cret. Upr,FRONTIER-2,6.3,,,,,,
2505644,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.841630,-106.084540,2000,30,30,0,0,60,15,Cret. Upr,FRONTIER-2,8.8,,,,,,
2505645,ARNELL OIL COMPANY,POISON SPIDER,42.841286,-106.737106,2000,2238,2238,0,0,362,21720,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505646,ARNELL OIL COMPANY,POISON SPIDER,42.841278,-106.733796,2000,75,75,0,0,41,1230,Triassic,CROW MOUNTAIN,3.7,,,,,,
2505648,SYNERGY OFFSHORE LLC,POISON SPIDER WEST,42.842680,-106.874941,2000,2281,1881,400,2400,338,2237,Cret. Upr,FRONTIER,42.8,,,,,,
2505648,SYNERGY OFFSHORE LLC,POISON SPIDER WEST,42.842680,-106.874941,2000,5636,5036,600,3597,336,5921,Cret. Upr,MESAVERDE,42.7,,,,,,
2505651,ARNELL OIL COMPANY,POISON SPIDER,42.842593,-106.740193,2000,1930,1930,0,0,362,3620,Triassic,CROW MOUNTAIN,22.0,,,,,,
